id,sitecode,wzmc,problem_id,blzt,bgdate
293658,1505000002,通辽市人民政府,2,1,2023-08-09
293647,4600000001,海南省人民政府,6,1,2023-08-09
293637,2201060002,长春市绿园区人民政府,0,22,2023-08-09
293614,3707000010,潍坊市政府门户网站,0,22,2023-08-09
293576,4400000131,广东省人民政府门户网站,2,1,2023-08-09
293561,3200000043,江苏省生态环境厅,6,22,2023-08-09
293555,4602000007,三亚市农业农村局,6,1,2023-08-09
293549,4113000002,南阳市人民政府门户网站,4,1,2023-08-09
293547,3500000080,福建省公共资源交易电子公共服务平台,2,1,2023-08-09
293527,4304000038,衡阳市政府门户网站,4,1,2023-08-09
293521,bm60000001,国家信访局,0,22,2023-08-09
293520,bm04000009,信用中国,0,1,2023-08-09
293512,bm02000004,外交部网站,4,22,2023-08-09
293510,3607260005,中国⊙安远,0,1,2023-08-09
293500,3700000027,山东省人力资源和社会保障厅,2,1,2023-08-09
293488,3403000020,蚌埠市应急管理局,2,1,2023-08-09
293486,5116210030,岳池县人民政府,2,1,2023-08-09
293484,4420000052,中国中山政府门户网站,2,1,2023-08-09
293483,1100000088,北京市人民政府,4,1,2023-08-09
293482,5100000049,四川省市场监督管理局门户网站,6,1,2023-08-09
293476,1200000044,天津市文化和旅游局,2,1,2023-08-09
293474,3601000001,南昌市人民政府,6,1,2023-08-09
293472,5100000086,四川省生态环境厅,1,1,2023-08-09
293468,4690240002,临高县人民政府网站,0,1,2023-08-09
293466,3301000001,杭州市住房保障和房产管理局（杭州市房产信息网）,1,1,2023-08-09
293465,2201000002,长春市应急管理局,3,1,2023-08-09
293461,4101000062,郑州住房公积金网,2,1,2023-08-09
293459,bm19000004,交通运输部政府网站,10,1,2023-08-09
293457,6207250003,甘肃山丹门户网,2,1,2023-08-09
293456,3100000054,上海市文化和旅游局上海市广播电视局上海市文物局,10,1,2023-08-09
293454,3700000004,山东省市场监督管理局,0,1,2023-08-09
293450,3714000005,德州市生态环境局,6,1,2023-08-09
293447,3310240041,仙居县人民政府,4,1,2023-08-09
293446,5111000056,乐山市住房公积金管理中心,10,1,2023-08-09
293443,4403000033,深圳市规划和自然资源局,10,22,2023-08-09
293439,1311000004,衡水市人民政府,2,1,2023-08-09
293419,bm53100001,江苏防震减灾,0,1,2023-08-09
293396,3100000044,中国上海,10,22,2023-08-09
293389,4503000047,广西桂林市教育局网站,1,1,2023-08-09
293388,4400000058,广东省发展和改革委员会,0,1,2023-08-09
293379,2100000118,辽宁政务服务网,1,1,2023-08-09
293365,3700000034,山东省卫生健康委员会,4,1,2023-08-09
293361,5200000130,贵州政务服务网,10,1,2023-08-09
293359,3717000007,菏泽市人力资源和社会保障局,10,1,2023-08-09
293353,bm35000001,国家药品监督管理局,2,1,2023-08-09
293352,5333240013,贡山县人民政府,2,1,2023-08-09
293351,4206000020,襄阳市市场监督管理局,5,1,2023-08-09
293348,4206000001,襄阳市住房和城乡建设局,2,1,2023-08-09
293342,4400000084,广东政务服务网,10,1,2023-08-09
293334,3203030001,徐州市云龙区人民政府,2,22,2023-08-09
293326,bm29150011,国家税务总局山东省税务局,10,22,2023-08-09
293325,bm28000001,中国海关门户网站,4,1,2023-08-09
293316,3403000006,蚌埠市人民政府,5,1,2023-08-09
293299,5303220001,陆良县人民政府网站,2,1,2023-08-09
293290,6229000039,信用中国（甘肃临夏）,1,1,2023-08-09
293288,3400000066,安徽政务服务网,0,22,2023-08-09
293232,3506220001,云霄县人民政府门户网站,2,22,2023-08-09
293221,6400000036,宁夏回族自治区住房和城乡建设厅,0,22,2023-08-09
293202,4200000116,湖北政务服务网,10,1,2023-08-09
293176,bm19010001,中华人民共和国海事局政府网站,10,1,2023-08-09
293165,4300000001,湖南省政府门户网站,10,1,2023-08-09
293150,4690010001,五指山市人民政府网,0,1,2023-08-09
293135,3700000036,山东省生态环境厅网站,6,1,2023-08-09
293124,bm14000001,中华人民共和国财政部,0,22,2023-08-09
293115,bm31370001,国家标准化管理委员会,6,22,2023-08-09
293112,3101150035,中国（上海）自由贸易试验区临港新片区,0,1,2023-08-09
293082,1504000070,赤峰市住房公积金管理中心,2,1,2023-08-09
293056,6101000129,西安政务服务网,10,22,2023-08-09
293051,2300000055,黑龙江省政府采购网,6,1,2023-08-09
293044,6101000083,西安市水务局,2,1,2023-08-09
292993,bm30000012,国家市场监督管理总局,2,1,2023-08-09
292917,bm05000001,教育部政府门户网站,10,22,2023-08-09
292651,bm04000007,国家发展改革委门户网站,0,1,2023-08-09
293463,2200000054,吉林省住房和城乡建设厅网站,3,22,2023-08-08
293445,4510300004,广西百色西林县人民政府门户网站,4,1,2023-08-08
293438,3501250003,福州市永泰县政府,6,1,2023-08-08
293432,bm04000009,信用中国,1,22,2023-08-08
293405,bm36000002,国家统计局网站（中国统计信息网）,0,1,2023-08-08
293398,1306830001,安国市人民政府,6,1,2023-08-08
