id,sitecode,wzmc,problem_id,blzt,bgdate
308321,1304000009,邯郸市人民政府,2,1,2023-12-21
308316,6229270002,积石山县人民政府,2,1,2023-12-21
308286,4403000056,深圳市卫生健康委员会门户网站,2,1,2023-12-21
308284,3607310011,于都县人民政府网,6,22,2023-12-21
308279,4690070003,东方市人民政府网,6,22,2023-12-21
308278,4300000013,湖南省工业和信息化厅,6,22,2023-12-21
308275,5100000081,四川省统计局,10,22,2023-12-21
308269,1311000004,衡水市人民政府,0,1,2023-12-21
308264,3700000004,山东省市场监督管理局,6,22,2023-12-21
308258,5110280004,四川省隆昌市人民政府门户网站,6,1,2023-12-21
308256,3306000034,绍兴市卫生健康委员会,2,22,2023-12-21
308255,4400000106,广东省人力资源和社会保障厅,0,22,2023-12-21
308250,4401000027,广州市农业农村局,2,1,2023-12-21
308237,1405250013,泽州县人民政府门户网站,2,1,2023-12-21
308234,1403030001,阳泉市矿区人民政府门户网站,2,1,2023-12-21
308231,bm06000005,国家科学技术奖励工作办公室,6,1,2023-12-21
308222,3100000115,上海市人力资源社会保障网,10,1,2023-12-21
308218,5100000042,四川省人力资源和社会保障厅,4,1,2023-12-21
308210,bm15000011,技能人才评价工作网,10,22,2023-12-21
308205,5115000022,宜宾市住房公积金管理中心,10,22,2023-12-21
308202,4111000001,漯河市人民政府门户网站,0,1,2023-12-21
308182,3403020005,蚌埠市龙子湖区人民政府,5,1,2023-12-21
308179,1410210004,曲沃县人民政府门户网站,10,1,2023-12-21
308172,3206020037,南通市崇川区人民政府,6,1,2023-12-21
308168,4401830036,广州市增城区人民政府门户网站,0,1,2023-12-21
308146,3402220001,芜湖市繁昌区人民政府,4,1,2023-12-21
308144,5307020009,古城区政府门户网站,10,1,2023-12-21
308131,6201000094,信用兰州,1,1,2023-12-21
308122,3407000003,铜陵市人民政府,2,1,2023-12-21
308117,3707830010,寿光市人民政府,4,1,2023-12-21
308105,6500000048,新疆维吾尔自治区人力资源和社会保障厅门户网站,0,1,2023-12-21
308104,5100000101,四川政务服务网,2,1,2023-12-21
308102,4206000063,襄阳市医疗保障局,0,1,2023-12-21
308101,4300000019,湖南省应急管理厅,4,22,2023-12-21
308073,6208250001,庄浪县人民政府,2,1,2023-12-21
308052,6200000068,甘肃省教育厅,0,22,2023-12-21
308050,bm30000002,中国商标网（国家知识产权局商标局）,3,22,2023-12-21
308047,2205240004,柳河县人民政府,2,1,2023-12-21
308034,bm19010001,中华人民共和国海事局政府网站,10,1,2023-12-21
308031,3607000048,赣州市自然资源局,0,22,2023-12-21
308020,5100000009,四川省自然资源厅,4,1,2023-12-21
308010,bm31370001,国家标准化管理委员会,2,1,2023-12-21
308005,3600000020,江西省财政厅,0,1,2023-12-21
307990,4200000116,湖北政务服务网,10,1,2023-12-21
307989,2100000098,辽宁省普通高等学校本科教学管理平台,10,1,2023-12-21
307977,3200000098,江苏政务服务网,0,1,2023-12-21
307968,4100000015,河南省卫生健康委员会,0,1,2023-12-21
307953,4301000004,长沙市人力资源和社会保障局网站,0,22,2023-12-21
307889,6200000054,甘肃省卫生健康委员会官方网站,0,1,2023-12-21
307878,2300000094,黑龙江省地方金融监督管理局,0,1,2023-12-21
307868,4406000048,佛山市人民政府门户网站,1,1,2023-12-21
308212,1304000009,邯郸市人民政府,2,1,2023-12-20
308173,3702000100,山东政务服务网青岛市,10,1,2023-12-20
308156,5100000042,四川省人力资源和社会保障厅,0,22,2023-12-20
308143,3713000053,临沂市住房和城乡建设局,3,1,2023-12-20
308142,bm34000004,国家矿山安全监察局,0,22,2023-12-20
308140,6401210006,永宁县人民政府,2,1,2023-12-20
308125,1310000012,廊坊经济技术开发区管理委员会,1,1,2023-12-20
308121,3502000007,厦门市市场监督管理局,1,22,2023-12-20
308118,4401000004,广州市人民政府,10,22,2023-12-20
308116,4107000040,新乡市人民政府,0,1,2023-12-20
308113,3311220003,缙云县人民政府,6,1,2023-12-20
308112,bm15000001,全国人力资源和社会保障政务服务平台,2,22,2023-12-20
308100,4200000115,信用湖北,1,22,2023-12-20
308092,5000000104,重庆市市场监督管理局,2,22,2023-12-20
308085,3100000114,上海医保网,0,22,2023-12-20
308083,6205000002,天水市人民政府,0,22,2023-12-20
308081,5200000093,贵州省市场监督管理局,2,1,2023-12-20
308077,6208250001,庄浪县人民政府,2,1,2023-12-20
308074,3303000059,温州市教育局网站,2,22,2023-12-20
308072,3715220009,莘县人民政府门户网,2,1,2023-12-20
308062,3500000068,福建省网上办事大厅,10,22,2023-12-20
308042,4117270001,中国汝南,4,1,2023-12-20
308029,3304830001,桐乡市人民政府网站,10,22,2023-12-20
308022,3701000026,济南市审计局,10,22,2023-12-20
308007,3403000006,蚌埠市人民政府,2,1,2023-12-20
307985,4400000106,广东省人力资源和社会保障厅,4,1,2023-12-20
307969,1407290014,灵石县人民政府门户网站,2,1,2023-12-20
307967,2100000027,辽宁省司法厅,3,1,2023-12-20
307962,BT00000041,新疆生产建设兵团人力资源和社会保障局,10,1,2023-12-20
307957,1501000045,呼和浩特市生态环境局,2,1,2023-12-20
307939,4400000084,广东政务服务网,0,22,2023-12-20
307929,4418810020,英德市人民政府,2,1,2023-12-20
307916,3701000070,济南市生态环境局,2,1,2023-12-20
307911,5001160001,重庆市江津区人民政府,1,22,2023-12-20
307905,4400000071,广东省市场监督管理局（知识产权局）,5,22,2023-12-20
307888,1302000012,唐山市住房和城乡建设局,2,22,2023-12-20
307869,6200000051,甘肃省人力资源和社会保障厅,1,1,2023-12-20
307857,4504810001,广西梧州市岑溪市人民政府门户网站,1,1,2023-12-20
307848,1300000075,河北政务服务网,2,1,2023-12-20
307838,2100000016,辽宁省市场监督管理局,0,1,2023-12-20
307837,6100000149,陕西省市场监督管理局,6,22,2023-12-20
307836,5100000032,四川省情网,10,1,2023-12-20
307835,2100000118,辽宁政务服务网,2,22,2023-12-20
307812,3602030009,景德镇市珠山区人民政府,0,1,2023-12-20
307761,4400000078,广东省应急管理厅,6,22,2023-12-20
307735,4100000064,河南省住房和城乡建设厅,10,1,2023-12-20
