links,contents
https://zfwzzc.www.gov.cn/check_web/errorInfo_getErrorInfoList2.action?id=292071,"{""body"":[{""notHandleType"":0,""problem_id"":4,""rejectReason"":"""",""status"":""1"",""errorUrl"":""https://xxgk.mot.gov.cn/2020/jigou/haishi/202307/t20230725_3873185.html"",""transactUnit"":""中华人民共和国交通运输部"",""newOldDataFlag"":1,""type"":0,""createtime"":""2023-07-27"",""id"":292071,""wzmc"":""交通运输部政府网站"",""displayContent"":null,""description"":""疑似多个字"",""transactTime"":""2023-07-27"",""transactResult"":""您好，您的留言收悉，经排查，您提出的问题属实，目前我部政府网站已完成整改工作。感谢您对交通运输部政府网站的关注与支持。""}],""hasMoreItems"":false}"
https://zfwzzc.www.gov.cn/check_web/errorInfo_getErrorInfoList2.action?id=292066,"{""body"":[{""notHandleType"":0,""problem_id"":6,""rejectReason"":"""",""status"":""1"",""errorUrl"":""http://mof.hainan.gov.cn/sczt/0515/201707/f8efe96b5a384a3e81dddf1e7e666ca3.shtml"",""transactUnit"":""海南省财政厅"",""newOldDataFlag"":1,""type"":0,""createtime"":""2023-07-27"",""id"":292066,""wzmc"":""海南省财政厅对外门户网站"",""displayContent"":null,""description"":""文件最后1、2附件点不开，是否有附件。"",""transactTime"":""2023-07-27"",""transactResult"":""感谢您的对我们工作的监督，您反馈的问题我们已处理完成。""}],""hasMoreItems"":false}"
https://zfwzzc.www.gov.cn/check_web/errorInfo_getErrorInfoList2.action?id=292059,"{""body"":[{""notHandleType"":0,""problem_id"":2,""rejectReason"":"""",""status"":""1"",""errorUrl"":""https://jxt.zj.gov.cn/col/col1562839/index.html"",""transactUnit"":""浙江省经济和信息化厅"",""newOldDataFlag"":1,""type"":0,""createtime"":""2023-07-27"",""id"":292059,""wzmc"":""浙江省经济和信息化厅门户网站"",""displayContent"":null,""description"":""页面折线图横轴日期2022年6日是否应为2022年6月，其他历史数据时间也有相似的问题"",""transactTime"":""2023-07-27"",""transactResult"":""经查为网站信息员录入笔误，现已修正，给您带来不便敬请谅解，感谢您的关注与支持！""}],""hasMoreItems"":false}"
https://zfwzzc.www.gov.cn/check_web/errorInfo_getErrorInfoList2.action?id=292053,"{""body"":[{""notHandleType"":0,""problem_id"":10,""rejectReason"":"""",""status"":""22"",""errorUrl"":""http://czt.gansu.gov.cn/czt/c107470/gansukuaijiwang.shtml"",""transactUnit"":""甘肃省财政厅"",""newOldDataFlag"":1,""type"":0,""createtime"":""2023-07-27"",""id"":292053,""wzmc"":""甘肃省财政厅"",""displayContent"":null,""description"":""会计人员信息采集无法提交"",""transactTime"":""2023-07-27"",""transactResult"":""网民您好，您在中国政府网“我为政府网站找错”栏目的留言已收悉，经系统查询，您的信息采集申请已提交成功并经安宁区财政局审核通过。当前办理结果已通过电话方式向您告知。感谢您对政府网站的关注和支持！""}],""hasMoreItems"":false}"
https://zfwzzc.www.gov.cn/check_web/errorInfo_getErrorInfoList2.action?id=292049,"{""body"":[{""notHandleType"":0,""problem_id"":6,""rejectReason"":"""",""status"":""1"",""errorUrl"":""http://www.mwr.gov.cn/"",""transactUnit"":""中华人民共和国水利部"",""newOldDataFlag"":1,""type"":0,""createtime"":""2023-07-27"",""id"":292049,""wzmc"":""中华人民共和国水利部网站"",""displayContent"":null,""description"":""新闻发布会召开日期和文字直播中显示日期不一致。2023年4月14日开的新闻发布会。在文字直播中显示是日期却是2023-2-28。共24处。"",""transactTime"":""2023-07-27"",""transactResult"":""您好！您反映的问题，我们已经核实后并改正。感谢您对我们工作的关注和监督！""}],""hasMoreItems"":false}"
https://zfwzzc.www.gov.cn/check_web/errorInfo_getErrorInfoList2.action?id=292043,"{""body"":[{""notHandleType"":0,""problem_id"":2,""rejectReason"":"""",""status"":""22"",""errorUrl"":""http://zgcx.nhc.gov.cn:9090/Doctor"",""transactUnit"":""国家卫生健康委员会"",""newOldDataFlag"":1,""type"":0,""createtime"":""2023-07-27"",""id"":292043,""wzmc"":""中华人民共和国国家卫生健康委员会"",""displayContent"":null,""description"":""医生备案的医院名称和医院备案的医院名称不一致，导致用医院备案名称查医生查不到"",""transactTime"":""2023-07-27"",""transactResult"":""尊敬的网友，您好！已致电答复您相关问题。感谢您对国家卫生健康委员会官网的关注。""}],""hasMoreItems"":false}"
https://zfwzzc.www.gov.cn/check_web/errorInfo_getErrorInfoList2.action?id=292018,"{""body"":[{""notHandleType"":0,""problem_id"":4,""rejectReason"":"""",""status"":""1"",""errorUrl"":""http://www.sanya.gov.cn/"",""transactUnit"":""三亚市人民政府办公室"",""newOldDataFlag"":1,""type"":0,""createtime"":""2023-07-27"",""id"":292018,""wzmc"":""三亚市人民政府网"",""displayContent"":null,""description"":""社会主义核心价值观中“法治”写成“法制”"",""transactTime"":""2023-07-27"",""transactResult"":""您好，感谢您对三亚市人民政府网站工作的关注与支持，针对您发现的问题，我们已进行修改。希望您日后能一如既往保持关注，多提宝贵意见和建议，帮助我们为市民朋友提供更好、更快、更便捷的服务。""}],""hasMoreItems"":false}"
https://zfwzzc.www.gov.cn/check_web/errorInfo_getErrorInfoList2.action?id=291986,"{""body"":[{""notHandleType"":0,""problem_id"":10,""rejectReason"":"""",""status"":""1"",""errorUrl"":""http://www.ccgp-jiangxi.gov.cn/web/"",""transactUnit"":""江西省财政厅"",""newOldDataFlag"":1,""type"":0,""createtime"":""2023-07-27"",""id"":291986,""wzmc"":""江西省财政厅"",""displayContent"":null,""description"":""CA及签章办理流程无法打开，因投标项目较紧，招标项目又要求全部使用电子投标，所以请尽快处理，谢谢。"",""transactTime"":""2023-07-27"",""transactResult"":""尊敬的网民朋友，您好！您在“我为政府网站找错”栏目中的留言已收悉。感谢您的支持和监督。 您提出的的问题，我们高度重视，第一时间进行了核实，现将处理情况回复如下：已于7月27日线下与您进行电话联系，就您反馈的问题进行了回复及沟通，同时也得到了您本人的认可。欢迎您继续关注，及时给我们提出宝贵意见和建议。""}],""hasMoreItems"":false}"
https://zfwzzc.www.gov.cn/check_web/errorInfo_getErrorInfoList2.action?id=291979,"{""body"":[{""notHandleType"":0,""problem_id"":0,""rejectReason"":"""",""status"":""22"",""errorUrl"":""http://www.chinatax.gov.cn/chinatax/n1262558///index.html"",""transactUnit"":""国家税务总局税收宣传中心"",""newOldDataFlag"":1,""type"":0,""createtime"":""2023-07-27"",""id"":291979,""wzmc"":""国家税务总局网站"",""displayContent"":null,""description"":""内容无法访问"",""transactTime"":""2023-07-27"",""transactResult"":""尊敬的网民您好，来信收悉！经测试网站”局长信箱“功能模块可正常打开，如无法打开，建议您尝试清空浏览器的缓存再进行尝试。感谢您对我们工作的理解与支持。""}],""hasMoreItems"":false}"
https://zfwzzc.www.gov.cn/check_web/errorInfo_getErrorInfoList2.action?id=291968,"{""body"":[{""notHandleType"":0,""problem_id"":6,""rejectReason"":"""",""status"":""1"",""errorUrl"":""https://www.pengxi.gov.cn/leader"",""transactUnit"":""四川省蓬溪县行政审批局"",""newOldDataFlag"":1,""type"":0,""createtime"":""2023-07-26"",""id"":291968,""wzmc"":""蓬溪县人民政府"",""displayContent"":null,""description"":""政协应该是党组，不是党委。“中共政协蓬溪县委员会”提法错误"",""transactTime"":""2023-07-27"",""transactResult"":""尊敬的网友，您好，感谢您对蓬溪县人民政府网站的关注。根据查证，您反映的问题属实，我们已联系相关单位对错误表述进行更正，若您在访问过程中还有什么建议和意见，欢迎直接与蓬溪县行政审批局网络信息股联系（0825-5395138），感谢您对我们工作的关注与指导，祝您生活愉快！""}],""hasMoreItems"":false}"
