links,contents
https://zfwzzc.www.gov.cn/check_web/errorInfo_getErrorInfoList2.action?id=294359,"{""body"":[{""notHandleType"":0,""problem_id"":10,""rejectReason"":"""",""status"":""1"",""errorUrl"":""http://fujian.chinatax.gov.cn/"",""transactUnit"":""国家税务总局福建省税务局办公室"",""newOldDataFlag"":1,""type"":0,""createtime"":""2023-08-15"",""id"":294359,""wzmc"":""国家税务总局福建省税务局"",""displayContent"":null,""description"":""游客无法查询一般纳税人资格"",""transactTime"":""2023-08-15"",""transactResult"":""您好，该功能正在维护升级中，请您关注我局网站公告，预计将于8月底恢复，感谢您对税务工作的支持。""}],""hasMoreItems"":false}"
https://zfwzzc.www.gov.cn/check_web/errorInfo_getErrorInfoList2.action?id=294357,"{""body"":[{""notHandleType"":0,""problem_id"":2,""rejectReason"":"""",""status"":""1"",""errorUrl"":""http://www.kq.gov.cn/"",""transactUnit"":""大数据中心"",""newOldDataFlag"":1,""type"":0,""createtime"":""2023-08-15"",""id"":294357,""wzmc"":""绍兴市柯桥区人民政府"",""displayContent"":null,""description"":""http://www.kq.gov.cn/art/2022/7/1/art_1488946_59133410.html\n此页报道标题与内容不符，标题为《杨汛桥：“金紫薇”强村共富品牌揭牌签约》，内容为安昌街道“党建领古镇 共富向未来”七一主题活动报道，望改正"",""transactTime"":""2023-08-15"",""transactResult"":""您好，您反馈的问题已经核实并更正。非常感谢您的支持！""}],""hasMoreItems"":false}"
https://zfwzzc.www.gov.cn/check_web/errorInfo_getErrorInfoList2.action?id=294356,"{""body"":[{""notHandleType"":0,""problem_id"":10,""rejectReason"":"""",""status"":""1"",""errorUrl"":""https://zxts.zjzwfw.gov.cn/zwmhww/#/submit/6"",""transactUnit"":""浙江省人民政府办公厅"",""newOldDataFlag"":1,""type"":0,""createtime"":""2023-08-15"",""id"":294356,""wzmc"":""浙江政务服务网"",""displayContent"":null,""description"":""“我要反映”界面提交报错"",""transactTime"":""2023-08-15"",""transactResult"":""网民您好，您的问题已收悉，关于您反馈的功能无法使用的问题已对接民呼我为平台的技术人员，目前问题已修复。您可清除浏览器缓存或更换浏览器重新访问。给您带来不便敬请谅解，感谢您对网站的关注与支持！""}],""hasMoreItems"":false}"
https://zfwzzc.www.gov.cn/check_web/errorInfo_getErrorInfoList2.action?id=294346,"{""body"":[{""notHandleType"":0,""problem_id"":6,""rejectReason"":"""",""status"":""1"",""errorUrl"":""https://zjw.sh.gov.cn/jsgcxmbsjggscx/index.html"",""transactUnit"":""上海市住房和城乡建设管理委员会"",""newOldDataFlag"":1,""type"":0,""createtime"":""2023-08-15"",""id"":294346,""wzmc"":""上海市住房和城乡建设管理委员会门户网站"",""displayContent"":null,""description"":""在“建设工程项目办事结果公告及查询”页面中，输入报建编号和验证码这两项可以查询信息，\n但是输入建设单位名称及验证码这两项后点查询按钮却不能查询。\n输入项目名称及验证码这两项后点查询按钮也不能查询，之前一直输入任意一查询条件加验证码都能查询，很方便。\n现在输入建设单位名称后，还非得输入报建编号，有的报建编号忘记了，就无法查了，既然为了群众查询方便，是否可以跟之前一样，满足任意一查询条件+验证码后点击查询都可以进行查询。\n"",""transactTime"":""2023-08-15"",""transactResult"":""感谢您对本网站内容的关注。目前建设工程项目办事结果查询页面提供建设单位查询本单位负责的项目办事结果，为防止企业信息泄露，若无报建编号，无法查询办理结果。""}],""hasMoreItems"":false}"
https://zfwzzc.www.gov.cn/check_web/errorInfo_getErrorInfoList2.action?id=294327,"{""body"":[{""notHandleType"":0,""problem_id"":2,""rejectReason"":"""",""status"":""1"",""errorUrl"":""https://www.wfgx.gov.cn/GXQXXGK/JJFZJ/202103/t20210317_5831392.html"",""transactUnit"":""潍坊高新技术产业开发区大数据中心"",""newOldDataFlag"":1,""type"":0,""createtime"":""2023-08-15"",""id"":294327,""wzmc"":""潍坊国家高新技术产业开发区"",""displayContent"":null,""description"":""工信部文件名称应为《工业和信息化部关于进一步加强工业行业安全生产管理的指导意见》，而非监管。"",""transactTime"":""2023-08-15"",""transactResult"":""网友您好，您提出的问题属实。该错误系工作人员审核不严所致，我们已对错误信息进行更正。今后我们一定严格把关，避免类似错误。感谢您对我们工作的监督和信任，欢迎您一如既往的关注高新区网站以及高新区的各项工作，及时给我们提出宝贵意见和建议。""}],""hasMoreItems"":false}"
https://zfwzzc.www.gov.cn/check_web/errorInfo_getErrorInfoList2.action?id=294325,"{""body"":[{""notHandleType"":0,""problem_id"":4,""rejectReason"":"""",""status"":""1"",""errorUrl"":""http://www.jining.gov.cn/"",""transactUnit"":""济宁市人民政府办公室"",""newOldDataFlag"":1,""type"":0,""createtime"":""2023-08-15"",""id"":294325,""wzmc"":""济宁市人民政府"",""displayContent"":null,""description"":""自然资源与规划局  应改为  自然资源和规划局 "",""transactTime"":""2023-08-15"",""transactResult"":""网民您好，感谢您的留言，您反映的问题已整改，后续我们将规范使用部门简称。感谢您对政府网站的支持与关注！""}],""hasMoreItems"":false}"
https://zfwzzc.www.gov.cn/check_web/errorInfo_getErrorInfoList2.action?id=294319,"{""body"":[{""notHandleType"":0,""problem_id"":0,""rejectReason"":"""",""status"":""1"",""errorUrl"":""http://www.linping.gov.cn/art/2023/8/14/art_1229594803_4192147.html"",""transactUnit"":""杭州市临平区人民政府办公室"",""newOldDataFlag"":1,""type"":0,""createtime"":""2023-08-15"",""id"":294319,""wzmc"":""杭州市临平区门户网站"",""displayContent"":null,""description"":""网站内的信息表的链接无法访问"",""transactTime"":""2023-08-15"",""transactResult"":""您好，感谢您访问临平区门户网站！经核实，您反馈的内容确实存在附件无法打开的问题，经核实，此附件因区人社局网络问题没有上传成功，导致附件链接失效无法访问，现已经重新上传，可以正常访问浏览。给您造成不便敬请谅解，感谢您对临平区门户网站工作的支持与理解！""}],""hasMoreItems"":false}"
https://zfwzzc.www.gov.cn/check_web/errorInfo_getErrorInfoList2.action?id=294307,"{""body"":[{""notHandleType"":0,""problem_id"":4,""rejectReason"":"""",""status"":""1"",""errorUrl"":""http://www.tanchang.gov.cn/zjdc/zrdl/index.html"",""transactUnit"":""宕昌县人民政府办公室"",""newOldDataFlag"":1,""type"":0,""createtime"":""2023-08-15"",""id"":294307,""wzmc"":""宕昌县人民政府"",""displayContent"":null,""description"":""走进宕昌-自然地理介绍标点符号有误。"",""transactTime"":""2023-08-15"",""transactResult"":""网民您好,您在中国政府网“我为政府网站找错”栏目的留言已收悉，经核实，问题属实。目前已完成对相关错误的修改，感谢您对我们工作的支持，感谢您对政府网站的关注和支持。""}],""hasMoreItems"":false}"
https://zfwzzc.www.gov.cn/check_web/errorInfo_getErrorInfoList2.action?id=294284,"{""body"":[{""notHandleType"":0,""problem_id"":1,""rejectReason"":"""",""status"":""1"",""errorUrl"":""http://www.haibei.gov.cn/"",""transactUnit"":""海北藏族自治州人民政府办公室"",""newOldDataFlag"":1,""type"":0,""createtime"":""2023-08-15"",""id"":294284,""wzmc"":""海北藏族自治州政府门户网站"",""displayContent"":null,""description"":""州发展和改革委员会、州教育局、州工业商务和信息化局、州民族宗教事务委员会、州公安局、州民政局、州司法局、州财政局、州人力资源和社会保障局、州自然资源局、州生态环境局、州住房和城乡建设局、州交通运输局、州水利局、州农牧和科技局、州文体旅游广电局、州卫生健康委员会、州退役军人事务局、州应急管理局、州审计局、州林业和草原局、州市场监督管理局、州统计局、州乡村振兴局、州医疗保障局、州直机关事务管理局、州政务服务监督管理局、部分栏目、在线调查、州长信箱、答问知识库、主题分类、关注度、更新不及时"",""transactTime"":""2023-08-15"",""transactResult"":""感谢您对我们网站的监督, 对于您所反映的问题，我中心安排专人负责此项工作，与27家单位网站负责人联系，及时更新。再次感谢您对我州网站的监督和支持，我们会详细检查网站每个栏目内内容更新情况，及时更新各栏目内容。""}],""hasMoreItems"":false}"
https://zfwzzc.www.gov.cn/check_web/errorInfo_getErrorInfoList2.action?id=294272,"{""body"":[{""notHandleType"":0,""problem_id"":0,""rejectReason"":"""",""status"":""22"",""errorUrl"":""http://tjj.gansu.gov.cn/tjj/c109537/info_disp.shtml"",""transactUnit"":""甘肃省统计局"",""newOldDataFlag"":1,""type"":0,""createtime"":""2023-08-14"",""id"":294272,""wzmc"":""甘肃省统计局"",""displayContent"":null,""description"":""统计数据下载完之后，点击“查看统计年鉴”之后显示网页不存在"",""transactTime"":""2023-08-15"",""transactResult"":""网友:\n您好！8月14日，您在“我为政府网站找错”平台留言，反映关于《甘肃发展年鉴》下载后无法打开的问题，现答复如下：\n8月15日，我局根据您反映的问题，对网站加载的《甘肃发展年鉴》进行了下载测试，发现均可以打开正常使用，推测可能是您使用方法不当，下载后未解压缩、直接在压缩包中打开文件所导致，我局工作人员已电话联系您指导解决。\n感谢您对我们工作的关心和支持，欢迎您继续提出宝贵意见和建议。\n\n甘肃省统计局\n2023年8月15日""}],""hasMoreItems"":false}"
